,robot_x,robot_y,local_ppl_cnt
0,0.1767766952966369,-3.823223304703363,3
1,0.08110583720536446,-3.5922534215755415,2
2,-0.01456502088590797,-3.36128353844772,3
3,-0.1102358789771804,-3.1303136553198985,7
4,-0.20590673706845283,-2.899343772192077,9
5,-0.2059067370684528,-2.649343772192077,10
6,-0.2059067370684528,-2.471034703767671,11
7,-0.2059067370684528,-2.2927256353432655,13
8,-0.20590673706845278,-2.0427256353432655,16
9,-0.3015775951597252,-1.8117557522154437,17
10,-0.20590673706845275,-1.580785869087622,19
11,-0.30157759515972515,-1.3498159859598002,21
12,-0.30157759515972515,-1.3176031739383398,21
13,-0.4120860577986331,-1.2718290699563037,23
14,-0.5888627530952699,-1.0950523746596668,23
15,-0.6845336111865423,-0.864082491531845,24
16,-0.9155034943143641,-0.7684116334405725,22
17,-0.9837394206408373,-0.6036755346621094,22
18,-0.9837394206408373,-0.35367553466210944,23
19,-0.9837394206408373,-0.10367553466210944,24
20,-1.1098229720707908,0.022408016767844013,23
21,-1.1098229720707908,0.272408016767844,23
22,-1.1780588983972642,0.43714411554630705,21
23,-1.1780588983972642,0.687144115546307,20
24,-1.1780588983972642,0.937144115546307,20
25,-1.0823880403059918,1.1681139986741287,20
26,-0.9056113450093549,1.3448906939707657,19
27,-0.8099404869180824,1.5758605770985874,18
28,-0.71426962882681,1.8068304602264091,17
29,-0.5374929335301731,1.9836071555230461,21
30,-0.36071623823353627,2.160383850819683,21
31,-0.2650453801422638,2.3913537339475046,20
32,-0.16937452205099135,2.622323617075326,19
33,-0.07370366395971889,2.8532935002031476,15
34,-0.07370366395971888,3.1032935002031476,15
35,-0.07370366395971886,3.3532935002031476,15
36,-0.07370366395971885,3.6032935002031476,12
37,0.10307303133691804,3.7800701954997846,11
38,0.23096988312782168,-3.9043291419087276,3
39,0.4077465784244586,-3.7275524466120906,4
40,0.5845232737210955,-3.5507757513154536,4
41,0.7612999690177323,-3.3739990560188167,5
42,0.9380766643143692,-3.1972223607221797,5
43,0.8424058062230968,-2.966252477594358,6
44,0.9380766643143692,-2.7352825944665367,8
45,1.0337475224056416,-2.504312711338715,9
46,1.129418380496914,-2.2733428282108936,9
47,0.9526416852002771,-2.0965661329142566,12
48,0.7758649899036403,-1.9197894376176197,14
49,0.5990882946070034,-1.7430127423209827,17
50,0.42231159931036655,-1.5662360470243457,16
51,0.32664074121909414,-1.335266163896524,18
52,0.4223115993103666,-1.1042962807687022,21
53,0.5179824574016391,-0.8733263976408805,20
54,0.6136533154929116,-0.6423565145130588,22
55,0.6136533154929116,-0.39235651451305875,23
56,0.6136533154929116,-0.14235651451305875,23
57,0.6136533154929116,0.03595255391134705,23
58,0.6136533154929116,0.28595255391134705,24
59,0.6136533154929116,0.535952553911347,25
60,0.5179824574016392,0.7669224370391687,24
61,0.42231159931036677,0.9978923201669905,25
62,0.37653749532833064,1.1084007828058984,26
63,0.3307633913462945,1.2189092454448063,27
64,0.09979350821847283,1.3145801035360787,27
65,0.03155758189199957,1.4793162023145419,27
66,0.12722843998327205,1.7102860854423636,27
67,0.12722843998327207,1.9602860854423636,25
68,0.22289929807454453,2.1912559685701853,22
69,0.31857015616581696,2.422225851698007,20
70,0.22289929807454453,2.6531957348258284,18
71,0.22289929807454456,2.9031957348258284,18
72,0.12722843998327213,3.13416561795365,15
73,0.12722843998327213,3.3124746863780556,16
74,0.12722843998327216,3.5624746863780556,16
75,0.0589925136567989,3.727210785156519,13
76,0.1767766952966369,-3.823223304703363,6
77,0.08110583720536446,-3.5922534215755415,7
78,0.2578825325020013,-3.4154767262789045,7
79,0.1622116744107289,-3.184506843151083,8
80,0.06654081631945646,-2.9535369600232615,8
81,-0.029130041771815968,-2.72256707689544,9
82,-0.029130041771815954,-2.47256707689544,10
83,0.0665408163194565,-2.2415971937676185,11
84,0.16221167441072898,-2.010627310639797,12
85,0.25788253250200144,-1.7796574275119752,16
86,0.162211674410729,-1.5486875443841535,18
87,-0.014565020885907859,-1.3719108490875165,19
88,-0.060339124867943995,-1.2614023864486086,21
89,-0.2913090079957657,-1.1657315283573362,21
90,-0.38697986608703816,-0.9347616452295144,21
91,-0.38697986608703816,-0.6847616452295144,22
