,local_ppl_cnt,vx,vy
0,2,0.7071067811865476,0.7071067811865475
1,4,0.7071067811865476,0.7071067811865475
2,4,0.7071067811865476,0.7071067811865475
3,4,-0.3826834323650897,0.9238795325112867
4,4,-0.3826834323650897,0.9238795325112867
5,4,-0.3826834323650897,0.9238795325112867
6,5,0.38268343236508984,0.9238795325112867
7,5,6.123233995736766e-17,1.0
8,7,6.123233995736766e-17,1.0
9,8,6.123233995736766e-17,1.0
10,10,-0.3826834323650897,0.9238795325112867
11,10,6.123233995736766e-17,1.0
12,11,-0.3826834323650897,0.9238795325112867
13,11,6.123233995736766e-17,1.0
14,11,6.123233995736766e-17,1.0
15,11,6.123233995736766e-17,1.0
16,11,6.123233995736766e-17,1.0
17,11,6.123233995736766e-17,1.0
18,10,0.7071067811865476,0.7071067811865475
19,10,6.123233995736766e-17,1.0
20,8,-0.3826834323650897,0.9238795325112867
21,8,-0.3826834323650897,0.9238795325112867
22,9,6.123233995736766e-17,1.0
23,9,0.38268343236508984,0.9238795325112867
24,7,0.38268343236508984,0.9238795325112867
25,7,6.123233995736766e-17,1.0
26,8,6.123233995736766e-17,1.0
27,7,6.123233995736766e-17,1.0
28,6,6.123233995736766e-17,1.0
29,4,-0.3826834323650897,0.9238795325112867
30,5,-0.3826834323650897,0.9238795325112867
31,4,-0.3826834323650897,0.9238795325112867
32,4,6.123233995736766e-17,1.0
33,0,-0.3826834323650897,0.9238795325112867
34,0,-0.3826834323650897,0.9238795325112867
35,0,-0.3826834323650897,0.9238795325112867
36,1,-0.3826834323650897,0.9238795325112867
37,2,-0.3826834323650897,0.9238795325112867
38,3,6.123233995736766e-17,1.0
39,3,6.123233995736766e-17,1.0
40,4,6.123233995736766e-17,1.0
41,4,-0.3826834323650897,0.9238795325112867
42,4,6.123233995736766e-17,1.0
43,4,6.123233995736766e-17,1.0
44,7,6.123233995736766e-17,1.0
45,8,6.123233995736766e-17,1.0
46,11,6.123233995736766e-17,1.0
47,11,6.123233995736766e-17,1.0
48,11,6.123233995736766e-17,1.0
49,12,0.38268343236508984,0.9238795325112867
50,12,0.38268343236508984,0.9238795325112867
51,12,0.38268343236508984,0.9238795325112867
52,13,4.367312598097899e-17,0.7132362736976232
53,13,6.123233995736766e-17,1.0
54,13,0.38268343236508984,0.9238795325112867
55,13,0.38268343236508984,0.9238795325112867
56,12,0.38268343236508984,0.9238795325112867
57,12,0.38268343236508984,0.9238795325112867
58,12,0.38268343236508984,0.9238795325112867
59,12,0.38268343236508984,0.9238795325112867
60,7,6.123233995736766e-17,1.0
61,9,6.123233995736766e-17,1.0
62,6,-0.3826834323650897,0.9238795325112867
63,4,-0.3826834323650897,0.9238795325112867
64,5,6.123233995736766e-17,1.0
65,4,-0.272943705305893,0.6589443951138523
66,1,0.7071067811865476,0.7071067811865475
67,1,-0.3826834323650897,0.9238795325112867
68,1,-0.3826834323650897,0.9238795325112867
69,2,-0.3826834323650897,0.9238795325112867
70,2,6.123233995736766e-17,1.0
71,2,6.123233995736766e-17,1.0
72,4,6.123233995736766e-17,1.0
73,4,6.123233995736766e-17,1.0
74,4,-0.3826834323650897,0.9238795325112867
75,4,0.38268343236508984,0.9238795325112867
76,8,6.123233995736766e-17,1.0
77,9,6.123233995736766e-17,1.0
78,10,6.123233995736766e-17,1.0
79,11,6.123233995736766e-17,1.0
80,10,6.123233995736766e-17,1.0
81,10,6.123233995736766e-17,1.0
82,11,6.123233995736766e-17,1.0
83,12,6.123233995736766e-17,1.0
84,13,6.123233995736766e-17,1.0
85,13,-0.3826834323650897,0.9238795325112867
86,13,-0.3826834323650897,0.9238795325112867
87,13,0.38268343236508984,0.9238795325112867
88,13,0.38268343236508984,0.9238795325112867
89,12,0.38268343236508984,0.9238795325112867
90,12,0.38268343236508984,0.9238795325112867
91,12,0.38268343236508984,0.9238795325112867
92,12,0.38268343236508984,0.9238795325112867
93,12,6.123233995736766e-17,1.0
94,10,6.123233995736766e-17,1.0
95,9,-0.3826834323650897,0.9238795325112867
96,8,-0.3826834323650897,0.9238795325112867
