,local_ppl_cnt,vx,vy
0,1,6.123233995736766e-17,1.0
1,2,6.123233995736766e-17,1.0
2,3,0.06708032310414612,0.9977475784246451
3,2,-0.4146212421650009,0.552100363072765
4,2,-0.5707404938623899,0.5422356022814216
5,2,-0.3331671377111872,0.9428677841295325
6,4,-0.028681458403788582,0.9995886023479018
7,5,-0.23605327925853,0.9717401141001099
8,5,0.06352318771726514,0.9979803628439976
9,6,-0.12834929510975995,0.991729024706259
10,7,-0.18923992775556997,0.981930878291882
11,10,0.08026811443841733,0.9967733091352824
12,10,0.30617385517946283,0.9519756143959494
13,11,0.13506438037414045,0.9908368246861586
14,11,-0.027010122873825225,0.9996351600770857
15,10,-0.1085104716588165,0.9940953060649573
16,10,0.02949233460162033,0.9995650064901962
17,10,-0.11654939192544264,0.9931848968051264
18,10,-0.049900316992939016,0.9987542031771401
19,12,-0.07469921528877052,0.9972061107089356
20,11,0.03218604809068947,0.9994818949377241
21,0,6.123233995736766e-17,1.0
22,0,-0.2963115333019946,0.9550913439206854
23,1,-0.030389662600522373,0.9995381275404287
24,1,-0.07547532248806788,0.9971476699543164
25,1,-0.3037158133752702,0.9527626696642759
26,1,0.014493962774655405,0.999894957004528
27,4,0.028753068016278843,0.9995865450673349
28,4,0.1358945152379185,0.9907233118930083
29,4,0.08545506208830585,0.9963420257940964
30,4,0.07191165849753611,0.997411005239131
31,4,-0.05033198472668952,0.9987325424323933
32,8,0.01608838754512558,0.9998705735174918
33,11,-0.09008070836755848,0.9959344687176958
34,11,-0.12455136992344898,0.9922131606918909
35,13,-0.05997121182327004,0.9982001070689426
36,13,-0.03429438829527358,0.9994117744610842
37,13,-0.18973104009424036,0.9818361026285181
38,12,-0.15342389222019312,0.9881604673816933
39,11,-0.09577043332080286,0.9954034479051926
40,10,-0.08624401508208174,0.9962740435555478
41,11,-0.12786725246781422,0.9917912914249309
42,11,-0.2133669404225845,0.9769721330389651
43,10,-0.08147455446928206,0.9966754220778358
